repo_url,schema_name,helm_name,crd_path,crd_last_sha,crd_last_updated
https://github.com/upbound/provider-aws,ec2.aws.m.upbound.io,provider-aws,package/crds,b0ea68d6dc9593ce8d695f6d49d681cea04ce7a8,2026-03-05T12:12:16Z
https://github.com/upbound/provider-aws,ec2.aws.upbound.io,provider-aws,package/crds,b0ea68d6dc9593ce8d695f6d49d681cea04ce7a8,2026-03-05T12:12:16Z
https://github.com/aws-controllers-k8s/ec2-controller,ec2.services.k8s.aws,ack-ec2,config/crd/bases,21c69ebfdf403de7515db9e050e34babd608dcfc,2026-03-03T18:09:48Z
https://github.com/aws-controllers-k8s/ecr-controller,ecr.services.k8s.aws,ack-ecr,config/crd/bases,6a4f4730f3e7bdd494e9a984b2b9a67f771995be,2026-02-12T23:53:22Z
https://github.com/aws/eks-anywhere,eks.amazonaws.com,eks-anywhere,config/crd/bases,b38f93e2c9df6b85d49a886ba8f04b26f3af3119,2026-02-20T21:44:29Z
https://github.com/upbound/provider-aws,eks.aws.m.upbound.io,provider-aws,package/crds,b0ea68d6dc9593ce8d695f6d49d681cea04ce7a8,2026-03-05T12:12:16Z
https://github.com/upbound/provider-aws,eks.aws.upbound.io,provider-aws,package/crds,b0ea68d6dc9593ce8d695f6d49d681cea04ce7a8,2026-03-05T12:12:16Z
https://github.com/aws-controllers-k8s/eks-controller,eks.services.k8s.aws,ack-eks,config/crd/bases,5ce5eeafd7d8ed96762955e5323b655311d39571,2026-03-09T21:13:47Z
https://github.com/upbound/provider-aws,elasticache.aws.m.upbound.io,provider-aws,package/crds,b0ea68d6dc9593ce8d695f6d49d681cea04ce7a8,2026-03-05T12:12:16Z
https://github.com/upbound/provider-aws,elasticache.aws.upbound.io,provider-aws,package/crds,b0ea68d6dc9593ce8d695f6d49d681cea04ce7a8,2026-03-05T12:12:16Z
https://github.com/aws-controllers-k8s/elasticache-controller,elasticache.services.k8s.aws,ack-elasticache,config/crd/bases,35c16596cf5280c89a3ecb85f40ea632c0924e5f,2025-12-23T19:31:34Z
https://github.com/elastic/cloud-on-k8s,elasticsearch.k8s.elastic.co,elastic,config/crds/v1/resources,b0249d426a9fbff053f8564f6b842fe254bbf4bf,2026-02-17T13:13:01Z
https://github.com/upbound/provider-aws,elbv2.aws.m.upbound.io,provider-aws,package/crds,b0ea68d6dc9593ce8d695f6d49d681cea04ce7a8,2026-03-05T12:12:16Z
https://github.com/upbound/provider-aws,elbv2.aws.upbound.io,provider-aws,package/crds,b0ea68d6dc9593ce8d695f6d49d681cea04ce7a8,2026-03-05T12:12:16Z
https://github.com/kubernetes-sigs/aws-load-balancer-controller,elbv2.k8s.aws,aws-load-balancer,config/crd/bases,dba4f0c7e3f20bdaf53578569353caf78d5cb330,2026-03-04T05:15:36Z
